"","X1","title","averageRating","numVotes","genre1","genre2","genre3","runtimeMinutes","titleType","rank","studio","lifetime_gross","year","oscar_year","oscar_win","oscar_nom","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10"
"812",11395,"The Deep",8.1,419,"Action","Adventure","Animation",22,"tvSeries",1804,"Col.",47346365,1977,NA,"No","No","Vincent Tong","Kathleen Barr","Nicole Oliver","Michael Dobson",NA,NA,NA,NA,NA,NA
"813",11401,"The Deep End",7,730,"Drama",NA,NA,60,"tvSeries",4931,"FoxS",8823109,2001,NA,"No","No","Billy Zane","Ben Lawson","Matt Long","Leah Pipes","Tina Majorino","Norbert Leo Butz","Mehcad Brooks",NA,NA,NA
"814",11415,"The Devil Inside",8.8,40,"Comedy","Drama",NA,NA,"tvSeries",1592,"Par.",53261944,2012,NA,"No","No","Daymon Patterson","Parker Zippel","Jeffrey Ridgway Jr.","Theresa Ridgway",NA,NA,NA,NA,NA,NA
"815",11439,"The Doctor",6.9,18,"Drama",NA,NA,30,"tvSeries",2211,"BV",38120905,1991,NA,"No","No","Stella Andrew","Katharine Bard","Wesley Addy","Peg Hillias","Dean Harens","Warner Anderson","Paul Langton","Edward Binns","Charles Bronson",NA
"816",11464,"The Dukes of Hazzard",7.1,9672,"Action","Comedy",NA,60,"tvSeries",967,"WB",80270227,2005,NA,"No","No","Sorrell Booke","Ben Jones","Tom Wopat","John Schneider","Sonny Shroyer","Waylon Jennings","Denver Pyle",NA,NA,NA
"817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",11512,"The Equalizer",7.8,3952,"Action","Crime","Drama",48,"tvSeries",709,"Sony",101530738,2014,NA,"No","No","Chad Redding","Keith Szarabajka","Edward Woodward","Robert Lansing","Maureen Anderman","William Zabka","Mark Margolis",NA,NA,NA
"819",11522,"The Event",7,25007,"Crime","Drama","Mystery",43,"tvSeries",13081,"Think",35554,2003,NA,"No","No","Laura Innes","Blair Underwood","Jason Ritter","Ian Anthony Dale","Taylor Cole","Zeljko Ivanek",NA,NA,NA,NA
"820",11530,"The Exorcist",8.1,22737,"Drama","Horror","Thriller",45,"tvSeries",149,"WB",232906145,1973,1973,"No","Yes","Geena Davis","Brianne Howey","Alan Ruck","Alfonso Herrera","Ben Daniels","Mouzam Makkar","Kurt Egyiawan",NA,NA,NA
"821",11550,"The Fall",8.2,67645,"Crime","Drama","Thriller",60,"tvSeries",6783,"RAtt.",2266905,2008,NA,"No","No","Niamh McGrady","Stuart Graham","Jamie Dornan","Bronagh Waugh","Bronagh Taggart",NA,NA,NA,NA,NA
"822",11553,"The Family",6.4,1755,"Documentary",NA,NA,249,"tvSeries",9417,"Vest",346730,1988,NA,"No","No","Zachary Booth","David Rysdahl","James Cromwell",NA,NA,NA,NA,NA,NA,NA
"823",11554,"The Family",7.5,4496,"Drama","Mystery",NA,60,"tvSeries",9417,"Vest",346730,1988,NA,"No","No","Liam James","Alison Pill","Madeleine Arthur","Rupert Graves","Joan Allen","Floriana Lima",NA,NA,NA,NA
"824",11559,"The Family Man",8.8,9789,"Action","Comedy","Drama",45,"tvSeries",1039,"Uni.",75793305,2000,NA,"No","No","Manoj Bajpayee","Priyamani","Shahab Ali","Vedant Sinha","Sharib Hashmi","Neeraj Madhav","Mehek Thakur","Pawan Chopra",NA,NA
"825",11561,"The Family Man",6.3,25,"Comedy",NA,NA,30,"tvSeries",1039,"Uni.",75793305,2000,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826",11563,"The Family Tree",6.3,27,"Drama",NA,NA,60,"tvSeries",15518,"EOne",6035,2011,NA,"No","No","Anne Archer","Alan Feinstein","Luis Avalos","Melora Hardin","Jonathan Hall Kovacs","Frank Converse","James Spader","Joanna Cassidy",NA,NA
"827",11599,"The Firm",7.1,5001,"Action","Crime","Drama",60,"tvSeries",333,"Par.",158348367,1993,NA,"No","No","Callum Keith Rennie","Josh Lucas","Natasha Calis","Tricia Helfer","Molly Parker","Juliette Lewis",NA,NA,NA,NA
"828",11620,"The Flintstones",7.5,30250,"Adventure","Animation","Comedy",30,"tvSeries",467,"Uni.",130531208,1994,NA,"No","No","Gerry Johnson","Alan Reed","Jean Vander Pyl","Mel Blanc","John Stephenson","Bea Benaderet",NA,NA,NA,NA
"829",11649,"The Forgotten",6.6,2127,"Crime","Drama",NA,60,"tvSeries",1211,"SonR",67133509,2004,NA,"No","No","Heather Stephens","Elizabeth Bogush","Bob Stephenson","Christian Slater","Anthony Carrigan",NA,NA,NA,NA,NA
"830",11662,"The Four Seasons",7.3,23,"Drama",NA,NA,30,"tvSeries",1699,"Uni.",50427646,1981,NA,"No","No","Tony Roberts","Barbara Babcock","Jack Weston","Elizabeth Alda","Lori Carrell","Marcia Rodd","Beatrice Alda","Joanna Kerns",NA,NA
"831",11678,"The Fugitive",8,2993,"Adventure","Crime","Drama",51,"tvSeries",242,"WB",183875760,1993,1993,"No","Yes","Bill Raisch","Paul Birch","William Conrad","David Janssen",NA,NA,NA,NA,NA,NA
"832",11679,"The Fugitive",7.1,581,"Action","Drama",NA,60,"tvSeries",242,"WB",183875760,1993,1993,"No","Yes","Mykelti Williamson","Lauren Tewes","Rex Linn","Stephen Lang","John Aylward",NA,NA,NA,NA,NA
"833",11692,"The Game",6.7,3617,"Comedy","Drama","Romance",21,"tvSeries",1762,"Poly",48323648,1997,NA,"No","No","Barry Floyd","Brittany Daniel","Tia Mowry-Hardrict","Wendy Raquel Robinson",NA,NA,NA,NA,NA,NA
